"tau..0.1","tau..0.2","tau..0.3","tau..0.4","tau..0.5","tau..0.6","tau..0.7","tau..0.8","tau..0.9"
"(Intercept)",-3019.44462015791,-1969.93244002775,-2405.97006013357,-1332.30255284298,-625.231677168214,104.282204985419,-1259.9549121136,409.948663183237,11161.6224983353
"regression_xarea",770.400051372426,900.359433310291,1052.89721620942,1074.4861658771,1094.97635599462,1204.67129220725,1407.59922225075,1476.77467139176,966.704828327814
"regression_xd21",6372.20476329088,6398.07242881931,7814.35893663098,4615.60768375809,2354.67864512942,752.461098722405,-1307.09304513253,-1779.181453337,-14399.3259093752
"regression_xd22",2614.18277079852,3223.79710108672,2878.81445900964,2190.02463595005,1747.42937775701,1248.25678029242,3634.56917642831,3560.1171519816,-7299.78259183501
"regression_xd23",11390.9664853851,11425.1042473543,15208.5861927187,14861.8167931147,14097.8893801961,12188.4357454184,14616.0757990135,13305.2194611359,1901.04768565045
"regression_xd24",7439.82718580359,9314.39677950411,11727.3234450566,11093.3894371643,9719.81042708557,14101.9739524768,19809.4062335036,17841.3819312593,3765.86761778912
"regression_xd25",2238.80994545974,1772.17703359677,3084.32631023588,797.53795457229,-259.245231394671,-657.349063838234,1951.46457096355,-71.3654295831412,-6028.17068342199
"regression_xd26",6195.1383805181,4129.95020132805,4858.42417406117,1067.7453998799,1898.46540934092,1033.5753232444,3548.10631393698,8620.11238400319,10204.2996045857
"regression_xd27",-231.006479103965,-4917.79175681782,-4256.1209125509,-6380.59006181374,-7811.54293423955,-12956.6703369586,-5759.31412318247,-6205.27178851858,-12894.2027288418
"regression_xd28",1824.99862710223,501.43380457069,3425.2210712782,1529.08265750904,620.860896772179,-491.520546030922,964.708973425683,1706.63665805997,-7802.95704307183
"regression_xd29",4242.5089965891,4320.5913220348,4250.81412645477,1746.68918243395,430.598505944474,812.612635498913,1239.90733730368,-278.29934900874,-10381.218166096
"regression_xd210",5020.43032826161,2159.91595587279,6451.86582163601,8770.61493767272,15860.4113633316,16658.0917098964,16962.1301156085,17357.8496544619,-1551.58093897215
"regression_xd211",5265.35808320652,5074.63822130191,6079.32317644064,6698.01765784328,7583.00241429599,9740.66758741118,11309.6844395845,20406.865956259,9520.46506902999
"regression_xd41",1226.94561038286,280.662099872389,232.046841878603,-139.155024119584,157.753186515292,64.443815102998,1472.35556708849,1283.11211483512,-1378.4178370171
"regression_xd42",471.549661930276,-745.294654543961,-949.11177341661,-1887.29607406731,-2438.99427758681,-2930.06298996036,-1942.19818322886,-2740.78397510292,-8155.30275389609
"regression_xd43",-615.435006969083,-1371.00566103733,-1276.20106575058,-2523.99836211549,-3168.69439217449,-3489.89293544563,-2591.55670380574,-2836.18720079525,-10804.4979741216
"regression_xd5",-3682.4203478988,-3235.16716775503,-3014.01844620609,-2556.24800830394,-2513.93209454557,-2716.75629835731,-2313.33945868846,-1995.46695112376,-2201.51460714714
"regression_xd6",1314.95837357651,1438.33959184941,1858.22590956623,2230.0262972203,2539.70432302185,2853.6997455241,2637.12616948667,2248.09813116558,1842.14445816378
"regression_xd7",2139.75836470569,2151.89890902171,2142.48023916328,2067.40139133318,2134.4615749977,2258.48589120113,2132.99103042814,2343.56502409945,1705.50658596157
"regression_xd8",1390.24206676498,1005.10058511003,1065.75463602689,1020.52931588604,852.609278327494,450.04420930233,510.278983679693,501.059101750993,698.965732058473
"regression_xd9",1470.7081049959,1883.80990931264,1573.15313520866,1688.00980583997,1578.23616835985,1284.65228741308,1287.69636804914,804.20858328215,718.751479304017
"regression_xmin_station",-2.20165694528256,-2.24463442205707,-2.46778758786806,-2.42294413164079,-2.56240229479564,-2.80639896987149,-2.6681506577167,-2.57442891354094,-2.22292262682286
"regression_xmin_park",2.20183651952158,2.24402060953699,2.4664792520089,2.42088930493496,2.55929263027214,2.80313627549313,2.66425355658447,2.5695287212548,2.21657155530574
"regression_xaread21",-495.333399037163,-537.077352282338,-642.530606416015,-310.062152462236,-93.4466620454355,48.5227463453617,232.055985085167,447.559516078818,1625.88923966999
"regression_xaread22",153.376860401529,124.020338062908,101.481816499411,158.283737606545,234.679667729223,221.517597771385,98.0571713023815,111.014576108422,827.311355916594
"regression_xaread23",-338.627060757618,-379.213046677622,-706.441783896116,-691.902658622664,-604.826078841412,-557.33402892854,-683.097829407118,-563.885405024878,447.299014372014
"regression_xaread24",-135.88861140298,-309.389840076004,-499.004862256423,-441.013465334343,-331.242588939495,-660.615292011277,-990.682827852475,-970.076905686632,235.621311625796
"regression_xaread25",-37.4866361793259,-68.5179876306438,-39.6307009894117,118.771358107391,204.979441080218,129.419394013854,-106.990700351159,-17.3928054406911,257.920994881944
"regression_xaread26",-209.685750340987,-138.150057463515,-120.556500805177,136.026990789153,177.66996374423,201.397600685212,50.8678711744012,-228.536944673048,158.469238802045
"regression_xaread27",-11.6109600747792,37.740912632143,-40.6102509774192,52.8677150623623,134.829934444149,409.077133305822,49.5747201434686,126.336888978838,836.644695133055
"regression_xaread28",-176.326034801951,-221.499853688076,-405.275000990695,-342.111535381402,-245.944118307162,-240.97448806238,-326.820510051698,-330.534171735638,333.66943282767
"regression_xaread29",-81.7154093113813,-160.76194942594,-217.108493750472,-132.284114666375,-71.2048398485005,-123.653891780991,-213.254369899079,-129.306659252147,595.792171090253
"regression_xaread210",-100.365479880011,-89.4664837314149,-345.375773722885,-554.067884346935,-942.535842856056,-1080.07448792077,-1196.62281097929,-1295.86871372642,-227.676113782463
"regression_xaread211",-273.344016800599,-356.598377545809,-504.600088567027,-597.949319711585,-616.902294617066,-796.807507102806,-971.850862300825,-1724.56789113328,-1074.18080192614
