"area","d21","d22","d23","d24","d25","d26","d27","d28","d29","d210","d211","d41","d42","d43","d5","d6","d7","d8","d9","min_station","min_park","aread21","aread22","aread23","aread24","aread25","aread26","aread27","aread28","aread29","aread210","aread211","d41d21","d41d22","d41d23","d41d24","d41d25","d41d26","d41d27","d41d28","d41d29","d41d210","d41d211","d42d21","d42d22","d42d23","d42d24","d42d25","d42d26","d42d27","d42d28","d42d29","d42d210","d42d211","d43d21","d43d22","d43d23","d43d24","d43d25","d43d26","d43d27","d43d28","d43d29","d43d210","d43d211","area_square","area2d21","area2d22","area2d23","area2d24","area2d25","area2d26","area2d27","area2d28","area2d29","area2d210","area2d211"
"1",13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,712.530661277542,303.241871141353,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,169,0
"2",6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1239.00438465314,182.406588285109,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,36,0,0,0
"3",18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1520.62442378106,449.958989607546,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,324,0,0,0,0
"4",78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,546.11104375745,198.792391657877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6084,0,0,0,0,0,0,0,0,0,0,0
"5",9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,403.180290946762,120.917854315933,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,81,0,0,0,0,0,0
"6",9.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,466.181160868442,178.031779795085,0,9.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.25,0,90.25,0,0,0,0,0,0,0,0,0
"7",5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,534.680345623886,139.106365806184,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0
"8",40.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,267.429751099227,189.897255089084,40.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1672.81,1672.81,0,0,0,0,0,0,0,0,0,0
"9",13,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,442.349425408334,142.860305870858,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,169,0,0,0,0,0,0,0,0
"10",10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,399.140352550833,187.618736045927,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0
"11",21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,302.135902761348,345.002280314735,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,0,0,0,441,0,0,0,0,0,0,0
"12",5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,624.568506598557,35.0532356608085,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0
"13",5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,110.939782888117,242.753838675764,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0
"14",8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,392.233517232336,213.67452931311,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,0,0,0,0,0,0,0,0,0,0
"15",6.7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,118.301427696487,166.01721996281,0,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.89,0,0,0,44.89,0,0,0,0,0,0,0
"16",47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,572.823997098312,10.7800022500866,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2209,0,2209,0,0,0,0,0,0,0,0,0
"17",36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.571708535152,41.7632076459939,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1296,0,1296,0,0,0,0,0,0,0,0,0
"18",40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,257.640131626211,35.2668550845439,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,1600,0,0,0,0,0,0,0,0,0,0
"19",18.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,675.996364473188,56.6996516586027,0,0,0,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.25,0,0,0,0,0,342.25,0,0,0,0,0
"20",21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,497.409985284851,120.636719282011,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,0,441,0,0,0,0,0,0,0,0,0
"21",18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,445.018588123759,203.407911175049,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0,324,0,0,0,0,0,0,0,0,0
"22",7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1587.41009297851,164.556701564193,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,49,0,0,0,0
"23",16.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,112.348875893512,164.002259854878,0,16.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272.25,0,272.25,0,0,0,0,0,0,0,0,0
