"index","station_name","lat","lng"
"1",1,"淡水","25.167745","121.445805"
"2",2,"關渡","25.12551","121.467"
"3",3,"忠義","25.1309225","121.4732975"
"4",4,"新北投","25.1369315","121.5025955"
"5",5,"北投","25.1318185","121.4986475"
"6",6,"圓山","25.0714085","121.520074"
"7",7,"劍潭","25.0842015","121.5249545"
"8",8,"士林","25.0934925","121.52623"
"9",9,"芝山","25.102718","121.522546"
"10",10,"明德","25.109815","121.518785"
"11",11,"石牌","25.114455","121.515572"
"12",12,"唭哩岸","25.1208515","121.506234"
"13",13,"奇岩","25.1254705","121.50114"
"14",14,"民權西路","25.06235","121.519585"
"15",15,"雙連","25.057575","121.520685"
"16",16,"中山","25.052621","121.520364"
"17",17,"新埔","25.02327","121.468055"
"18",18,"江子翠","25.030265","121.47257"
"19",19,"龍山寺","25.03528","121.500325"
"20",20,"西門","25.042025","121.508175"
"21",21,"善導寺","25.04468","121.523885"
"22",22,"忠孝新生","25.042498","121.53321"
"23",23,"忠孝敦化","25.041505","121.55045"
"24",24,"國父紀念館","25.04137","121.557815"
"25",25,"市政府","25.041135","121.565685"
"26",26,"後山埤","25.044715","121.58227"
"27",27,"永春","25.040855","121.5762"
"28",28,"昆陽","25.0504585","121.5932285"
"29",29,"南港","25.052035","121.60697"
"30",30,"動物園","24.998205","121.579501"
"31",31,"木柵","24.99824","121.573127"
"32",32,"萬芳社區","24.99857","121.568088"
"33",33,"萬芳醫院","24.99932","121.558092"
"34",34,"麟光","25.018495","121.5588335"
"35",35,"辛亥","25.005455","121.5570455"
"36",36,"六張犁","25.02381","121.55302"
"37",37,"科技大樓","25.02612","121.5434615"
"38",38,"大安","25.033311","121.54237"
"39",39,"南京復興","25.052044","121.544303"
"40",40,"中山國中","25.06085","121.544215"
"41",41,"忠孝復興","25.041749","121.545026"
"42",42,"新店","24.95761","121.53746"
"43",43,"南勢角","24.990065","121.509237"
"44",44,"景安","24.99392","121.505114"
"45",45,"永安市場","25.002895","121.511225"
"46",46,"頂溪","25.013858","121.515462"
"47",47,"新店區公所","24.96744","121.5413"
"48",48,"七張","24.97545","121.542985"
"49",49,"大坪林","24.9827205","121.54134"
"50",50,"景美","24.992824","121.5406975"
"51",51,"萬隆","25.001978","121.539008"
"52",52,"公館","25.014781","121.534358"
"53",53,"台電大樓","25.020733","121.5281435"
"54",54,"古亭","25.026373","121.522868"
"55",55,"中正紀念堂","25.032767","121.518273"
"56",56,"小南門","25.035585","121.51088"
"57",57,"台大醫院","25.041399","121.51602"
"58",58,"台北車站","25.04631","121.517415"
"59",59,"復興崗","25.137497","121.485456"
"60",60,"頂埔","24.96012","121.4205"
"61",61,"海山","24.985305","121.44873"
"62",62,"永寧","24.96682","121.43613"
"63",63,"土城","24.97313","121.44432"
"64",64,"板橋","25.013825","121.462305"
"65",65,"府中","25.008465","121.459276"
"66",66,"亞東醫院","24.99828","121.452465"
"67",67,"小碧潭","24.97188","121.53058"
"68",68,"松山機場","25.0629075","121.55201"
"69",69,"大直","25.07943","121.54679"
"70",70,"劍南路","25.08483","121.5555825"
"71",71,"西湖","25.08216","121.567227"
"72",72,"港墘","25.08007","121.57516"
"73",73,"文德","25.078455","121.5849995"
"74",74,"內湖","25.083675","121.594363"
"75",75,"大湖公園","25.083805","121.602214"
"76",76,"葫洲","25.07271","121.6071455"
"77",77,"東湖","25.067455","121.611535"
"78",78,"南港軟體園區","25.05992","121.615"
"79",79,"大安森林公園","25.033225","121.536151"
"80",80,"信義安和","25.033015","121.552326"
"81",81,"台北101/世貿","25.032865","121.563667"
"82",82,"象山","25.032395","121.570116"
"83",83,"南港展覽館","25.054919","121.616861"
"84",84,"蘆洲","25.09152","121.46471"
"85",85,"紅樹林","25.15399","121.4588"
"86",86,"三民高中","25.085425","121.473365"
"87",87,"徐匯中學","25.080485","121.479945"
"88",88,"三和國中","25.07646","121.486795"
"89",89,"三重國小","25.070275","121.49701"
"90",90,"大橋頭","25.06322","121.5130035"
"91",91,"中山國小","25.062665","121.526609"
"92",92,"行天宮","25.05924","121.53315"
"93",93,"松江南京","25.052693","121.53285"
"94",94,"東門","25.033894","121.528766"
"95",95,"迴龍","25.022107","121.411757"
"96",96,"丹鳳","25.029073","121.422422"
"97",97,"輔大","25.03279","121.435735"
"98",98,"新莊","25.03608","121.45218"
"99",99,"頭前庄","25.039735","121.461655"
"100",100,"先嗇宮","25.04632","121.47165"
"101",101,"三重","25.05571","121.48422"
"102",102,"台北橋","25.063075","121.500575"
"103",103,"菜寮","25.059451","121.491421"
"104",104,"北門","25.049554","121.510184"
"105",105,"松山","25.050118","121.577706"
"106",106,"南京三民","25.051588","121.56471"
"107",107,"台北小巨蛋","25.05152","121.552549"
"108",108,"竹圍","25.1369","121.45955"
